mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_return_qty,median_return_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,num_orders_purch,num_returns_purch,Supplier ID,Category,mean_late,median_late,mean_early,median_early,num_transactions_expo,%Late,%Early,%Critical
3.18663320565,3.0,3.18293488311,3.0,1.57720248316,1.0,1.00673623035,1.0,2.80095099723,3.0,1.21238938053,1.0,1.00303790781,1.0,2.10130762119,2.0,2.64416853784,3,4.29295997887,5.0,7452,119,S087,Cable/Conn/Wire,1.01586851799,1.0,4.7616888637,4.7616888637,3529,1,5,2
1.41666666667,1.0,1.41666666667,1.0,2.0,2.0,1.0,1.0,2.33333333333,2.0,1.0,1.0,1.0,1.0,1.83333333333,2.0,1.16666666667,1,3.75,5.0,10,2,S087,Fabrication,1.0,1.0,5.0,5.0,6,1,5,1
3.12121212121,3.0,3.12121212121,3.0,1.48484848485,1.0,1.0,1.0,3.33333333333,4.0,1.36363636364,1.0,1.0,1.0,2.48484848485,2.0,2.0303030303,3,4.81818181818,5.0,33,0,S087,Accessories/OEM,1.0,1.0,5.0,5.0,18,1,5,1
1.9552238806,2.0,1.98507462687,2.0,3.37313432836,3.0,1.0,1.0,3.22388059701,4.0,1.13432835821,1.0,1.0,1.0,2.0,2.0,1.71641791045,1,5.0,5.0,67,0,S088,Cable/Conn/Wire,1.0,1.0,4.84905660377,4.84905660377,53,1,5,1
3.42637047653,3.0,3.43711931207,3.0,1.46757434611,1.0,1.00322465066,1.0,2.85775707632,3.0,1.40415621641,1.0,1.00358294518,1.0,2.1246864923,2.0,2.41454675743,1,3.67968470082,5.0,2766,25,S093,Cable/Conn/Wire,1.03054101222,1.0,4.79319371728,4.79319371728,1146,1,5,2
3.8,3.0,3.8,3.0,1.2,1.0,1.0,1.0,4.4,5.0,1.2,1.0,1.0,1.0,2.0,2.0,1.0,1,3.8,5.0,5,0,S093,Fabrication,1.0,1.0,5.0,5.0,4,1,5,2
3.5,3.0,3.5,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,4,0,S093,Unknown,1.0,1.0,4.42857142857,4.42857142857,7,1,5,1
5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,3,0,S098,Elect Comp,1.0,1.0,5.0,5.0,3,1,5,1
3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,1,0,S099,Cable/Conn/Wire,1.0,1.0,5.0,5.0,3,1,5,1
2.75,3.0,3.0,3.0,1.5,1.0,1.0,1.0,4.0,4.0,1.25,1.0,1.0,1.0,2.25,2.0,1.0,1,2.75,2.0,4,0,S099,Elect Comp,1.0,1.0,5.0,5.0,1,1,5,1
2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,1,0,S099,Unknown,1.0,1.0,5.0,5.0,1,1,5,1
5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.06060606061,3.0,2.60606060606,3.0,1.15151515152,1.0,2.09090909091,2.0,2.81818181818,1,5.0,5.0,30,3,S104,Antenna,1.0,1.0,5.0,5.0,14,1,5,1
5.0,5.0,5.0,5.0,1.72413793103,2.0,1.03448275862,1.0,2.20689655172,1.0,3.31034482759,4.0,1.1724137931,1.0,1.96551724138,2.0,4.03448275862,5,5.0,5.0,27,2,S107,Accessories/OEM,1.0,1.0,5.0,5.0,12,1,5,1
4.5,4.5,4.5,4.5,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.5,2.5,1.0,1,2.0,2.0,2,0,S109,Unknown,1.0,1.0,5.0,5.0,2,1,5,1
5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,1,0,S109,Fabrication,1.0,1.0,5.0,5.0,1,1,5,1
5.0,5.0,5.0,5.0,1.87242798354,2.0,1.0,1.0,2.04526748971,1.0,2.91358024691,3.0,1.0,1.0,1.36625514403,1.0,2.8683127572,1,4.96296296296,5.0,237,6,S109,Accessories/OEM,1.03007518797,1.0,4.78195488722,4.78195488722,133,1,5,1
4.78571428571,5.0,4.78571428571,5.0,1.28571428571,1.0,1.0,1.0,3.64285714286,3.0,1.5,1.0,1.0,1.0,1.0,1.0,2.28571428571,3,4.78571428571,5.0,14,0,S109,Cable/Conn/Wire,1.0,1.0,4.5,4.5,8,1,5,1
1.14583333333,1.0,1.10416666667,1.0,3.9375,4.0,1.0625,1.0,2.77083333333,3.0,1.08333333333,1.0,1.0,1.0,2.41666666667,2.0,2.08333333333,1,1.5,1.0,47,1,S113,Elect Comp,1.0,1.0,5.0,5.0,53,1,5,1
1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,1,0,S113,Magnetics,1.0,1.0,5.0,5.0,1,1,5,1
3.50943396226,3.5,3.48113207547,3.0,1.55660377358,2.0,1.01886792453,1.0,3.0,3.0,1.54716981132,2.0,1.01886792453,1.0,1.71698113208,2.0,4.09433962264,5,2.11320754717,2.0,104,2,S114,Fabrication,1.0,1.0,5.0,5.0,14,1,5,2
4.11516034985,4.0,4.13896987366,4.0,1.14285714286,1.0,1.00048590865,1.0,3.11613216715,3.0,1.24198250729,1.0,1.0019436346,1.0,1.71185617104,2.0,2.75996112731,3,2.33527696793,2.0,2050,8,S115,Cable/Conn/Wire,1.06996381182,1.0,4.65621230398,4.65621230398,829,1,5,1
